Field,Description,Delay,Type,USA,CHN
news_max_dn_ret,Percent change from the price at the time of the news to the after the news low,1,matrix,97%,—
news_max_up_amt,The after the news high minus the price at the time of the news,0,matrix,97%,—
news_max_up_amt,The after the news high minus the price at the time of the news,1,matrix,97%,—
news_max_up_ret,Percent change from the price at the time of the news to the after the news high,0,matrix,86%,—
news_max_up_ret,Percent change from the price at the time of the news to the after the news high,1,matrix,85%,—
news_mins_10_chg,The minimum of L or S above for 10 minute bucket,0,matrix,78%,—
news_mins_10_chg,The minimum of L or S above for 10 minute bucket,1,matrix,74%,—
news_mins_10_pct_dn,Number of minutes that elapsed before price went down 10 percentage points,0,matrix,5%,—
news_mins_10_pct_dn,Number of minutes that elapsed before price went down 10 percentage points,1,matrix,4%,—
news_mins_10_pct_up,Number of minutes that elapsed before price went up 10 percentage points,0,matrix,67%,—
news_mins_10_pct_up,Number of minutes that elapsed before price went up 10 percentage points,1,matrix,63%,—
news_mins_1_chg,The minimum of L or S above for 1 minute bucket,0,matrix,92%,—
news_mins_1_chg,The minimum of L or S above for 1 minute bucket,1,matrix,92%,—
news_mins_1_pct_dn,Number of minutes that elapsed before price went down 1 percentage points,0,matrix,85%,—
news_mins_1_pct_dn,Number of minutes that elapsed before price went down 1 percentage points,1,matrix,83%,—
news_mins_1_pct_up,Number of minutes that elapsed before price went up 1 percentage points,0,matrix,22%,—
news_mins_1_pct_up,Number of minutes that elapsed before price went up 1 percentage points,1,matrix,19%,—
news_mins_20_chg,The minimum of L or S above for 20 minute bucket,0,matrix,92%,—
news_mins_20_chg,The minimum of L or S above for 20 minute bucket,1,matrix,91%,—
news_mins_20_pct_dn,Number of minutes that elapsed before price went down 20 percentage points,0,matrix,97%,—
news_mins_20_pct_dn,Number of minutes that elapsed before price went down 20 percentage points,1,matrix,97%,—
news_mins_20_pct_up,Number of minutes that elapsed before price went up 20 percentage points,0,matrix,97%,—
news_mins_20_pct_up,Number of minutes that elapsed before price went up 20 percentage points,1,matrix,97%,—
news_mins_2_chg,The minimum of L or S above for 2 minute bucket,0,matrix,58%,—
news_mins_2_chg,The minimum of L or S above for 2 minute bucket,1,matrix,53%,—
news_mins_2_pct_dn,Number of minutes that elapsed before price went down 2 percentage points,0,matrix,49%,—
news_mins_2_pct_dn,Number of minutes that elapsed before price went down 2 percentage points,1,matrix,44%,—
news_mins_2_pct_up,Number of minutes that elapsed before price went up 2 percentage points,0,matrix,32%,—
news_mins_2_pct_up,Number of minutes that elapsed before price went up 2 percentage points,1,matrix,28%,—
news_mins_3_chg,The minimum of L or S above for 3 minute bucket,0,matrix,92%,—
news_mins_3_chg,The minimum of L or S above for 3 minute bucket,1,matrix,92%,—
news_mins_3_pct_dn,Number of minutes that elapsed before price went down 3 percentage points,0,matrix,92%,—
news_mins_3_pct_dn,Number of minutes that elapsed before price went down 3 percentage points,1,matrix,92%,—
news_mins_3_pct_up,Number of minutes that elapsed before price went up 3 percentage points,0,matrix,93%,—
news_mins_3_pct_up,Number of minutes that elapsed before price went up 3 percentage points,1,matrix,92%,—
news_mins_4_chg,The minimum of L or S above for 4 minute bucket,0,matrix,93%,—
news_mins_4_chg,The minimum of L or S above for 4 minute bucket,1,matrix,92%,—
news_mins_4_pct_dn,Number of minutes that elapsed before price went down 4 percentage points,0,matrix,97%,—
news_mins_4_pct_dn,Number of minutes that elapsed before price went down 4 percentage points,1,matrix,97%,—
news_mins_4_pct_up,Number of minutes that elapsed before price went up 4 percentage points,0,matrix,97%,—
news_mins_4_pct_up,Number of minutes that elapsed before price went up 4 percentage points,1,matrix,97%,—
news_mins_5_chg,The minimum of L or S above for 5 minute bucket,0,matrix,97%,—
news_mins_5_chg,The minimum of L or S above for 5 minute bucket,1,matrix,97%,—
news_mins_5_pct_dn,Number of minutes that elapsed before price went down 5 percentage points,0,matrix,86%,—
news_mins_5_pct_dn,Number of minutes that elapsed before price went down 5 percentage points,1,matrix,85%,—
news_mins_5_pct_up,Number of minutes that elapsed before price went up 5 percentage points,0,matrix,93%,—
news_mins_5_pct_up,Number of minutes that elapsed before price went up 5 percentage points,1,matrix,92%,—
news_mins_7_5_chg,The minimum of L or S above for 7.5 minute bucket,0,matrix,34%,—
news_mins_7_5_chg,The minimum of L or S above for 7.5 minute bucket,1,matrix,30%,—
news_mins_7_5_pct_dn,Number of minutes that elapsed before price went down 7.5 percentage points,0,matrix,90%,—
news_mins_7_5_pct_dn,Number of minutes that elapsed before price went down 7.5 percentage points,1,matrix,88%,—
news_mins_7_5_pct_up,Number of minutes that elapsed before price went up 7.5 percentage points,0,matrix,9%,—
news_mins_7_5_pct_up,Number of minutes that elapsed before price went up 7.5 percentage points,1,matrix,7%,—
news_mov_vol,30 day moving average session volume,0,matrix,84%,—
news_mov_vol,30 day moving average session volume,1,matrix,80%,—
news_open,Price at the session open,0,matrix,76%,—
news_open,Price at the session open,1,matrix,71%,—
news_open_gap,(DayOpen - PrevClose) / PrevClose.,0,matrix,67%,—
news_open_gap,(DayOpen - PrevClose) / PrevClose.,1,matrix,62%,—
news_open_vol,Main open volume,0,matrix,48%,—
news_open_vol,Main open volume,1,matrix,44%,—
news_pct_10min,The percent change in price in the first 10minutes following the news release,0,matrix,77%,—
news_pct_10min,The percent change in price in the first 10 minutes following the news release,1,matrix,77%,—
news_pct_120min,The percent change in price in the first 120 minutes following the news release,0,matrix,91%,—
news_pct_120min,The percent change in price in the first 120 minutes following the news release,1,matrix,91%,—
news_pct_1min,The percent change in price in the first minute following the news release,0,matrix,97%,—
news_pct_1min,The percent change in price in the first minute following the news release,1,matrix,97%,—
news_pct_30min,The percent change in price in the first 30 minutes following the news release,0,matrix,97%,—
news_pct_30min,The percent change in price in the first 30 minutes following the news release,1,matrix,97%,—
news_pct_30sec,The percent change in price in the 30 seconds following the news release,0,matrix,97%,—
news_pct_30sec,The percent change in price in the 30 seconds following the news release,1,matrix,97%,—
news_pct_5_min,The percent change in price in the first 5 minutes following the news release,0,matrix,80%,—
news_pct_5_min,The percent change in price in the first 5 minutes following the news release,1,matrix,77%,—
news_pct_60min,The percent change in price in the first 60 minutes following the news release,0,matrix,97%,—
news_pct_60min,The percent change in price in the first 60 minutes following the news release,1,matrix,97%,—
news_pct_90min,The percent change in price in the first 90 minutes following the news release,0,matrix,97%,—
news_pct_90min,The percent change in price in the first 90 minutes following the news release,1,matrix,97%,—
news_pe_ratio,Reported price to earnings ratio for the calendar day of the session,0,matrix,97%,—
news_pe_ratio,Reported price to earnings ratio for the calendar day of the session,1,matrix,97%,—
news_post_vwap,Post session volume weighted average price,0,matrix,97%,—
news_post_vwap,Post session volume weighted average price,1,matrix,97%,—
news_pre_vwap,Pre session volume weighted average price,0,matrix,85%,—
news_pre_vwap,Pre session volume weighted average price,1,matrix,83%,—
news_prev_close,Previous trading day's close price,0,matrix,20%,—
news_prev_close,Previous trading day's close price,1,matrix,17%,—
news_prev_day_ret,Percent change between the previous day's open and close,0,matrix,77%,—
news_prev_day_ret,Percent change between the previous day's open and close,1,matrix,73%,—
news_prev_vol,Previous day's session volume,0,matrix,5%,—
news_prev_vol,Previous day's session volume,1,matrix,4%,—
news_range_stddev,(RangeAmt-AvgRange)/RangeStdDev, where AvgRange is the average of the daily range, and RangeStdDev is one standard deviation for the daily range, both for 30 calendar days,0,matrix,67%,—
news_range_stddev,(RangeAmt-AvgRange)/RangeStdDev, where AvgRange is the average of the daily range, and RangeStdDev is one standard deviation for the daily range, both for 30 calendar days,1,matrix,62%,—
news_ratio_vol,Curr_Vol / Mov_Vol,0,matrix,56%,—
news_ratio_vol,Curr_Vol / Mov_Vol,1,matrix,51%,—
news_session_range,Session High Price - Session Low Price,0,matrix,47%,—
news_session_range,Session High Price - Session Low Price,1,matrix,42%,—
news_session_range_pct,Session High Price - Session Low Price) / Session Low Price.,0,matrix,31%,—
news_session_range_pct,Session High Price - Session Low Price) / Session Low Price.,1,matrix,27%,—
news_short_interest,Total number of shares sold short divided by total number of shares outstanding,0,matrix,86%,—
news_short_interest,Total number of shares sold short divided by total number of shares outstanding,1,matrix,87%,—
news_spy_close,Price of SPY at close of session,0,matrix,97%,—
news_spy_close,Price of SPY at close of session,1,matrix,97%,—
news_spy_last,Last Price of the SPY at the time of the news,0,matrix,97%,—
news_spy_last,Last Price of the SPY at the time of the news,1,matrix,97%,—
news_ton_high,Highest price reached during the session before the time of news,0,matrix,97%,—
news_ton_high,Highest price reached during the session before the time of news,1,matrix,97%,—
news_ton_last,Price at the time of news,0,matrix,97%,—
news_ton_last,Price at the time of news,1,matrix,97%,—
news_ton_low,Lowest price reached during the session before the time of the news,0,matrix,97%,—
news_ton_low,Lowest price reached during the session before the time of the news,1,matrix,97%,—
news_tot_ticks,Total number of ticks for the trading day,0,matrix,97%,—
news_tot_ticks,Total number of ticks for the trading day,1,matrix,97%,—
news_vol_stddev,(CurrentVolume - AvgVol)/VolStDev, where AvgVol is the average of the daily volume, and VolStdDev is one standard deviation for the daily volume, both for 30 calendar days,0,matrix,97%,—
news_vol_stddev,(CurrentVolume - AvgVol)/VolStDev, where AvgVol is the average of the daily volume, and VolStdDev is one standard deviation for the daily volume, both for 30 calendar days,1,matrix,97%,—
nws12_afterhsz_01l,Number of minutes that elapsed before price went up 10 percentage points,0,vector,71%,—
nws12_afterhsz_01l,Number of minutes that elapsed before price went up 10 percentage points,1,vector,71%,—
nws12_afterhsz_01p,The minimum of L or S above for 10 minute bucket,0,vector,71%,—
nws12_afterhsz_01p,The minimum of L or S above for 10 minute bucket,1,vector,71%,—
nws12_afterhsz_01s,Number of minutes that elapsed before price went down 10 percentage points,0,vector,71%,—
nws12_afterhsz_01s,Number of minutes that elapsed before price went down 10 percentage points,1,vector,71%,—
nws12_afterhsz_02l,Number of minutes that elapsed before price went up 20 percentage points,0,vector,71%,—
nws12_afterhsz_02l,Number of minutes that elapsed before price went up 20 percentage points,1,vector,71%,—
nws12_afterhsz_02p,The minimum of L or S above for 20 minute bucket,0,vector,71%,—
nws12_afterhsz_02p,The minimum of L or S above for 20 minute bucket,1,vector,71%,—
nws12_afterhsz_02s,Number of minutes that elapsed before price went down 20 percentage points,0,vector,71%,—
nws12_afterhsz_02s,Number of minutes that elapsed before price went down 20 percentage points,1,vector,71%,—
nws12_afterhsz_10_min,The percent change in price in the first 10 minutes following the news release,0,vector,37%,—
nws12_afterhsz_10_min,The percent change in price in the first 10 minutes following the news release,1,vector,37%,—
nws12_afterhsz_120_min,The percent change in price in the first 120 minutes following the news release,0,vector,46%,—
nws12_afterhsz_120_min,The percent change in price in the first 120 minutes following the news release,1,vector,46%,—
nws12_afterhsz_1_minute,The percent change in price in the first minute following the news release,0,vector,25%,—
nws12_afterhsz_1_minute,The percent change in price in the first minute following the news release,1,vector,26%,—
nws12_afterhsz_1l,Number of minutes that elapsed before price went up 1 percentage points,0,vector,71%,—
nws12_afterhsz_1l,Number of minutes that elapsed before price went up 1 percentage points,1,vector,71%,—
nws12_afterhsz_1p,The minimum of L or S above for 1 minute bucket,0,vector,71%,—
nws12_afterhsz_1p,The minimum of L or S above for 1 minute bucket,1,vector,71%,—
nws12_afterhsz_1s,Number of minutes that elapsed before price went down 1 percentage points,0,vector,71%,—
nws12_afterhsz_1s,Number of minutes that elapsed before price went down 1 percentage points,1,vector,71%,—
nws12_afterhsz_2l,Number of minutes that elapsed before price went up 2 percentage points,0,vector,71%,—
nws12_afterhsz_2l,Number of minutes that elapsed before price went up 2 percentage points,1,vector,71%,—
nws12_afterhsz_2p,The minimum of L or S above for 2 minute bucket,0,vector,71%,—
nws12_afterhsz_2p,The minimum of L or S above for 2 minute bucket,1,vector,71%,—
nws12_afterhsz_2s,Number of minutes that elapsed before price went down 2 percentage points,0,vector,71%,—
nws12_afterhsz_2s,Number of minutes that elapsed before price went down 2 percentage points,1,vector,71%,—
nws12_afterhsz_30_min,The percent change in price in the first 30 minutes following the news release,0,vector,42%,—
nws12_afterhsz_30_min,The percent change in price in the first 30 minutes following the news release,1,vector,42%,—
nws12_afterhsz_3l,Number of minutes that elapsed before price went up 3 percentage points,0,vector,71%,—
nws12_afterhsz_3l,Number of minutes that elapsed before price went up 3 percentage points,1,vector,71%,—
nws12_afterhsz_3p,The minimum of L or S above for 3 minute bucket,0,vector,71%,—
nws12_afterhsz_3p,The minimum of L or S above for 3 minute bucket,1,vector,71%,—
nws12_afterhsz_3s,Number of minutes that elapsed before price went down 3 percentage points,0,vector,71%,—
nws12_afterhsz_3s,Number of minutes that elapsed before price went down 3 percentage points,1,vector,71%,—
nws12_afterhsz_41rta,Fourteen day Average True Range,0,vector,71%,—
nws12_afterhsz_41rta,Fourteen day Average True Range,1,vector,71%,—
nws12_afterhsz_4l,Number of minutes that elapsed before price went up 4 percentage points,0,vector,71%,—
nws12_afterhsz_4l,Number of minutes that elapsed before price went up 4 percentage points,1,vector,71%,—
nws12_afterhsz_4p,The minimum of L or S above for 4 minute bucket,0,vector,71%,—
nws12_afterhsz_4p,The minimum of L or S above for 4 minute bucket,1,vector,71%,—
nws12_afterhsz_4s,Number of minutes that elapsed before price went down 4 percentage points,0,vector,71%,—
nws12_afterhsz_4s,Number of minutes that elapsed before price went down 4 percentage points,1,vector,71%,—
nws12_afterhsz_57l,Number of minutes that elapsed before price went up 7.5 percentage points,0,vector,71%,—
nws12_afterhsz_57l,Number of minutes that elapsed before price went up 7.5 percentage points,1,vector,71%,—
nws12_afterhsz_57p,The minimum of L or S above for 7.5 minute bucket,0,vector,71%,—
nws12_afterhsz_57p,The minimum of L or S above for 7.5 minute bucket,1,vector,71%,—
nws12_afterhsz_57s,Number of minutes that elapsed before price went down 7.5 percentage points,0,vector,71%,—
nws12_afterhsz_57s,Number of minutes that elapsed before price went down 7.5 percentage points,1,vector,71%,—
nws12_afterhsz_5_min,The percent change in price in the first 5 minutes following the news release,0,vector,33%,—
nws12_afterhsz_5_min,The percent change in price in the first 5 minutes following the news release,1,vector,33%,—
nws12_afterhsz_5l,Number of minutes that elapsed before price went up 5 percentage points,0,vector,71%,—
nws12_afterhsz_5l,Number of minutes that elapsed before price went up 5 percentage points,1,vector,71%,—
nws12_afterhsz_5p,The minimum of L or S above for 5 minute bucket,0,vector,71%,—
nws12_afterhsz_5p,The minimum of L or S above for 5 minute bucket,1,vector,71%,—
nws12_afterhsz_5s,Number of minutes that elapsed before price went down 5 percentage points,0,vector,71%,—
nws12_afterhsz_5s,Number of minutes that elapsed before price went down 5 percentage points,1,vector,71%,—
nws12_afterhsz_60_min,The percent change in price in the first 60 minutes following the news release,0,vector,44%,—
nws12_afterhsz_60_min,The percent change in price in the first 60 minutes following the news release,1,vector,44%,—
nws12_afterhsz_90_min,The percent change in price in the first 90 minutes following the news release,0,vector,45%,—
nws12_afterhsz_90_min,The percent change in price in the first 90 minutes following the news release,1,vector,45%,—
nws12_afterhsz_allticks,Total number of ticks for the trading day,0,vector,71%,—
nws12_afterhsz_allticks,Total number of ticks for the trading day,1,vector,71%,—
nws12_afterhsz_atrratio,Ratio of Today Range to 20 day average true range,0,vector,64%,—
nws12_afterhsz_atrratio,Ratio of Today Range to 20 day average true range,1,vector,64%,—
nws12_afterhsz_close_vol,Main close volume,0,vector,55%,—
nws12_afterhsz_close_vol,Main close volume,1,vector,55%,—
nws12_afterhsz_curr_vol,Current day's session volume,0,vector,71%,—
nws12_afterhsz_curr_vol,Current day's session volume,1,vector,71%,—
nws12_afterhsz_dayopen,Price at the session open,0,vector,71%,—
nws12_afterhsz_dayopen,Price at the session open,1,vector,71%,—
nws12_afterhsz_div_y,Annual yield,0,vector,33%,—
nws12_afterhsz_div_y,Annual yield,1,vector,33%,—
nws12_afterhsz_eodclose,Close price of the session,0,vector,71%,—
nws12_afterhsz_eodclose,Close price of the session,1,vector,71%,—
nws12_afterhsz_eodhigh,Highest price reached between the time of news and the end of the session,0,vector,65%,—
nws12_afterhsz_eodhigh,Highest price reached between the time of news and the end of the session,1,vector,65%,—
nws12_afterhsz_eodlow,Lowest price reached between the time of news and the end of the session.,0,vector,65%,—
nws12_afterhsz_eodlow,Lowest price reached between the time of news and the end of the session.,1,vector,65%,—
nws12_afterhsz_eodvwap,volume weighted average price between the time of news and the end of the session.,0,vector,56%,—
nws12_afterhsz_eodvwap,volume weighted average price between the time of news and the end of the session.,1,vector,56%,—
nws12_afterhsz_epsactual,The actual Earnings Per Share value that was conveyed by the news release,0,vector,38%,—
nws12_afterhsz_epsactual,The actual Earnings Per Share value that was conveyed by the news release,1,vector,38%,—
nws12_afterhsz_highexcstddev,(EODHigh - TONLast)/StdDev, where StdDev is one standard deviation for the close price for 30 calendar days,0,vector,64%,—
nws12_afterhsz_highexcstddev,(EODHigh - TONLast)/StdDev, where StdDev is one standard deviation for the close price for 30 calendar days,1,vector,64%,—
nws12_afterhsz_lowexcstddev,(TONLast - EODLow)/StdDev, where StdDev is one standard deviation for the close price for 30 calendar days,0,vector,64%,—
nws12_afterhsz_lowexcstddev,(TONLast - EODLow)/StdDev, where StdDev is one standard deviation for the close price for 30 calendar days,1,vector,64%,—
nws12_afterhsz_mainvwap,Main session volume weighted average price,0,vector,55%,—
nws12_afterhsz_mainvwap,Main session volume weighted average price,1,vector,55%,—
nws12_afterhsz_maxdnamt,The price at the time of the news minus the after the news low,0,vector,65%,—
nws12_afterhsz_maxdnamt,The price at the time of the news minus the after the news low,1,vector,65%,—
nws12_afterhsz_maxdown,Percent change from the price at the time of the news to the after the news low,0,vector,65%,—
nws12_afterhsz_maxdown,Percent change from the price at the time of the news to the after the news low,1,vector,65%,—
nws12_afterhsz_maxup,Percent change from the price at the time of the news to the after the news high,0,vector,65%,—
nws12_afterhsz_maxup,Percent change from the price at the time of the news to the after the news high,1,vector,65%,—
nws12_afterhsz_maxupamt,The after the news high minus the price at the time of the news,0,vector,65%,—
nws12_afterhsz_maxupamt,The after the news high minus the price at the time of the news,1,vector,65%,—
nws12_afterhsz_mktcap,Reported market capitalization for the calendar day of the session,0,vector,71%,—
nws12_afterhsz_mktcap,Reported market capitalization for the calendar day of the session,1,vector,71%,—
nws12_afterhsz_mov_vol,30 day moving average session volume,0,vector,71%,—
nws12_afterhsz_mov_vol,30 day moving average session volume,1,vector,71%,—
nws12_afterhsz_newrecord,Tracks whether the news is first instance or a duplicate,0,vector,71%,—
nws12_afterhsz_newrecord,Tracks whether the news is first instance or a duplicate,1,vector,71%,—
nws12_afterhsz_newssess,Index of session in which the news was reported,0,vector,71%,—
nws12_afterhsz_newssess,Index of session in which the news was reported,1,vector,71%,—
nws12_afterhsz_open_vol,Main open volume,0,vector,55%,—
nws12_afterhsz_open_vol,Main open volume,1,vector,55%,—
nws12_afterhsz_opengap,(DayOpen - PrevClose) / PrevClose.,0,vector,71%,—
